Gene.name	P12955_161	P12955_162	P12955_169	P12955_170	P12955_177	P12955_178	P12955_185	P12955_186
AASS	6.94264	6.611770115	8.79259	7.564	6.23520326867	8.29263	5.868016	7.7271301161
AATF	25.6314	24.407873	27.9316	23.895	24.9461	23.044	27.8461	25.6591
AATK	1.586057	1.47054	2.70375	1.37850314485	2.52484	1.7253093	1.654447	1.10144
ABAT	44.87163	51.753203	44.3464	50.442737	40.94756	50.085516	42.215117	50.43164
ABCA1	13.024994	15.250522	15.78542	16.15679	14.1967	16.722227	13.602683	17.079078
ABCA10	0	0	0	0	0	0	0	0
ABCA12	0.0398686	0.0460293	0	0.0128599	0	0.0233319	0.036747	0
ABCA13	0.0694714	0.0297564	0.0364711	0.199305	0	0	0.0776636	0
ABCA2	4.35727964	2.324565	5.0663172563638	3.97582397049446	3.782411	3.14068279023753	3.76555	2.34049004902
ABCA3	2.347536	1.030915	1.207549	1.469781	1.401523	1.290628	1.519505	1.15596
ABCA4	0.1537136	0.150806	0.1151865	0.08573	0.2094442	0.0223325	0.247931	0.0701825
ABCA5	2.253164	1.4373759	3.275852	1.8005026	2.252867	1.463821	2.427619	1.83171
ABCA6	0	0	0	0	0	0	0	0
ABCA7	3.80847303250059	7.055815	5.6411	4.8809451	19.1388980055448	8.1105256	3.92879062188682	5.493143
ABCA8	0	0.0561488	0	0	0	0	0.0228453	0
ABCA9	0.4005422	0.4269865	0.413331	0.062578332966	0.183392	0.1965006	0.0930644	0.4969562
ABCB1	23.99935	28.555608	23.31699	25.063604	20.556386	24.904449	23.01883	26.4663
ABCB10	15.0427	14.0321	13.9673	14.6017	17.4332	14.6529	16.4422	14.9789
ABCB11	0.02050577	0	0	0.014917	0	0	0	0.02042842
ABCB4	6.9312	7.6810686286116	6.12833363	7.95332	6.55146441	9.3635043072	6.3396468356	8.222226368
ABCB5	0.1650893	0.1123307	0	0.0470049	0.1604995	0.028796	0	0.109751
ABCB6	40.54071	33.61658	39.47729	29.98757	36.22884	29.6471	34.37674	26.64118
ABCB7	16.05176	18.365573	11.523938	12.41279006	13.604787	12.78097	15.05279	15.99765
ABCB8	25.715873	15.406495	22.723159	19.337262	16.615974	16.91505	20.812504	16.535971
ABCB9	3.39786632835	3.1926710137453	2.3153667	2.602528	2.585827	2.21523214839	4.724637	1.9524814345326
ABCC1	25.6745849372	20.5871812324337	24.48541	21.135032	23.4710100007937	24.6997200021165	21.01747	20.6765700128872
ABCC10	15.13467	11.929449	15.12704	14.16515	16.71419	13.97969	15.839549	11.26363
ABCC11	0.234753	0.1847156395	0.3109874921	0.178191	0.3307428358	0.311696026	0.29953191474	0.196321
ABCC12	0	0	0	0	0	0	0	0
ABCC2	164.458646	158.54655	162.39377	161.28356	146.109563	146.27762	145.13642	148.00426
ABCC3	11.7209	9.891478	11.7698	7.07292	7.07692	7.502116	11.30409	1.2218
ABCC4	3.9425762	3.362621	4.625779	2.6271426	3.787851	4.800598	2.0430097	4.274411
ABCC5	10.56824	10.15234	7.304956	8.71975	10.08422	9.9374163	9.564776	8.86624
ABCC6	27.69796	26.667913	32.48076	30.09253	40.4744	26.944733	24.99654	27.596268442
ABCC8	0.0264384	0	0	0	0.0447168	0	0.0373274	0
ABCC9	0.545861	0.560744	0.57031	0.543925	0.198397	0.440047	0.319657	0.498666
ABCD1	24.38753	21.96149	26.25564	22.13283	26.55604	21.33671	23.35194	18.2069
ABCD2	0	0	0	0.0145012	0.0380067	0	0	0.0395379
ABCD3	57.90253	70.006566	56.74012	65.261514	58.36585	61.35961	66.3517	70.10069
ABCD4	5.606224	3.761678	6.08134587	4.057451	4.31608	7.38874	4.262501	4.998407
ABCE1	71.2613	71.9135	71.992	72.4214	69.3055	69.3779	83.1968	76.4178
ABCF1	3.42432	6.67218	3.82404	4.503054	1.52418	7.958608	4.44178	6.55622
ABCF2	43.66968	36.37014	41.65262	34.895686	41.38372	37.72104	36.872245	36.54852
ABCF3	11.86771	15.91244	13.35349	16.61461	17.20094	13.219650504	17.62376	14.17431
ABCG1	0	0	0	3.3664e-06	0	0	0	0
ABCG2	3.728292	5.0647290272696	3.478149	5.66734	5.08362	5.29374	5.00341	5.081809
ABCG4	0	0	0	0	0	0	0	0
ABCG5	3.80358	6.135224	5.987599	5.832948	4.12969	6.52425	4.78491	4.68758
ABCG8	3.668261	3.058343	4.267444	3.627208	4.134382	3.169617	3.739466	3.618898
ABHD1	0	0	0	0	0	0	0.0668971	0
ABHD10	19.89164	27.09408	19.72474	22.77476	18.32853	23.00835	20.12898	20.21823
ABHD11	0.140437	4.65694	6.36448	5.7009	6.6114054856	2.79126e-08	5.184129	5.18458
ABHD12	45.46333	39.469294	38.22899	38.48302	39.61659	38.873266	46.61606	41.7102
ABHD12B	0	0	0	0	0	0.823999	0.251415	0
ABHD13	4.38706	5.20806	5.24812	5.27009	4.64873	5.34899	5.4807	5.88144
ABHD14A	28.893097	30.164691	33.55057	27.98438	38.37263	25.9491	28.635019	21.06197
ABHD14A-ACY1	0	0	0	0	0	0	0	0
ABHD14B	96.45825	85.566104	96.37955	87.742796	100.86251	89.755485	96.33563	81.15928
ABHD15	3.39395	3.63644	3.66932	4.3478	5.32888	4.06752	3.97496	4.95904
ABHD16A	0	0	0	0	0	0	0	0
ABHD16B	9.582	9.44244	10.5504	7.86732	11.0249	7.55749	8.24204	4.49896
ABHD17A	27.260900115499	22.3409646	21.00681	22.508691	26.3564	23.30120173029	19.81624	15.85564
ABHD17B	8.34054	10.95797	9.87724	10.00303	8.70381	9.52943	11.68754	9.302712
ABHD17C	10.72327	9.01649	9.67618	10.250566	7.46933194528	9.4821300154747	7.656926	12.59213
ABHD18	7.754868566	7.623247	4.843673	8.59832	2.980078	6.9770378	4.02838300040737	7.144732
ABHD2	14.34057	9.562698	9.439813	10.769966	9.37492	10.691651	9.67198	8.70095
ABHD3	13.69264	16.272786	13.05122	18.32126	14.754806	16.56098	15.564591	16.17005
ABHD4	26.61553	18.2551	23.14161	21.179974	24.56215	18.6441	17.5228	17.6339
ABHD5	0.5463122	1.493129	5.8421617	2.405531	4.151737	2.598594	2.158983	1.930824
ABHD6	7.370890525685	5.61564493402	6.37117	5.50503000789104	6.28566	5.39883	4.81992	5.458968
ABHD8	8.38731	6.74934	7.73936	8.36862	6.98974	7.30379	6.60918	6.5194
ABI1	36.0845438332006	33.3455240042629	38.4587170550251	38.970863	31.4778155	31.36097603	36.283935095559	37.35295975
ABI2	20.309331	18.541933	23.266549	29.544031	28.614891	16.998503	19.0550692	32.342319
ABI3	0	0	0	0	0	0	0	0
ABI3BP	0	0.5293672	0	0.0424149	0	0.0366138	0	0.284801
ABL1	31.26684	27.45307	29.72788	28.79633	36.77189	30.82291	28.89321	26.6075
ABL2	3.447661	3.89325932132	4.9150249156	4.5504293	3.278212009	4.072799277	3.734629	4.0461890170401
ABLIM1	159.20195	153.54595	174.363560046631	151.87958	148.323	179.27434	161.55149	169.461494
ABLIM2	0	0.0760624	0	0	0.298786	0	0.256238	0
ABLIM3	0.1640253	0.229244	0.1729875	0.0437326	0.114171	0.1840156	0.2068218	0.150852
ABO	0	0.0304275	0	0	0	0	0	0
ABR	1.56196400349114	0.530893	0.319673	0.478665	2.68735e-08	1.193339	0.570225	0.582637
ABRA	0	0.161267	0	0.0345105	0	0	0.0539248	0.0471335
ABRACL	9.74895	9.38532	8.03065	8.61756	5.54412	8.25869	5.98887	8.59233
ABRAXAS1	7.398523	11.91883	5.357039	10.281969	7.715334	8.743018	10.372347	10.30086
ABRAXAS2	19.0323	18.2526	14.4117	16.649	14.7071	16.0192	18.8459	17.3033
ABT1	22.1578	21.6044	21.9876	21.2683	24.6753	25.1301	26.864	22.7226
ABTB1	0	2.95753	2.69486	1.427626	2.28968	2.6817	2.32092	2.28533
ABTB2	13.7289	12.257	13.5947	12.2879	13.0739	14.058	12.7278	11.9947
AC000120.2	0.464482	0	0	0.425252	0	0.662137	0.361897	0.308304
AC000120.3	2.31334	0	0	0.829112	1.30502	1.66365	0.777382	0
AC001226.2	0	0	0.0943064	0.055888	0	0	0	0.4910672
AC002094.3	0	0	0	0	0	0	0	0
AC002310.4	0	0	0	0	0.18808	0	0.724423	0.401052
AC002996.1	6.72617	7.47478	8.29097	3.54938	0	4.25975	0.694687	0
AC003002.1	0.295549	0	0	0	0	0.0254712	0	0
AC003002.2	0.766127	0	0	2.14551	0	2.93646	0.644525	0
AC003002.3	0	0	0	0	0	0	0	0
AC003006.1	0	0	0	0	0.483473	0	2.05161	2.59344
AC004076.1	0	0	0	0	0	0	0	0
AC004080.3	0	0	0	0.208424	0	0	0	0
AC004223.3	0	0	0	0	0	0	0	0
AC004233.2	0	0.0553089	0	0.14257	0	0.0856607	0.270776	0
AC004593.3	0.19862130001	0.661861	0.753443	0.378435	0.654004	0.662075	0.163281	0.313375
AC004691.2	0	0	0	0	0	0	0	0
AC004754.1	0	0	0	0	0	0	0	0.338838
AC004832.3	2.74448	2.60962	2.58966	2.51996	1.8554	2.05852	0	1.68571
AC004922.1	1.54117	1.93381	4.68476	1.53343	0.76293	0.537773	2.37943	0.368718
AC004997.1	0	0	0	0	0	0	0	0
AC005154.5	0.566877	0.809494	0	0.87555	0	0.844898	3.28593	1.69672
AC005324.3	0.0321493	0	0	0.0387972	0	0	0	0
AC005551.1	0	0	0	0	0	0	0	0
AC005697.1	0	0	0	0	0	0	0	0
AC005702.1	1.56338	0.386204	0	1.90339	0	3.09662	1.08267	0.473283
AC005726.1	0	0	0	0	0	0.585072	0	0.806403
AC005833.1	2.48727	2.16181	1.68814	1.51967	3.26931	1.61909	1.16729	2.56878
AC005837.2	0	0	0	0	0	0	0	0
AC006059.2	0	0	0	0	0	0	0	0
AC006486.1	0	0.011633	0	0	0	0	2.64849	0
AC006518.7	0.303845	0.808044	1.12101	0.149147	0	0	0.27882	0
AC006538.2	0	11.4136	9.98115	3.49383	2.44666	3.1977	5.214	4.57106
AC007040.2	0.0517382	0.401561	0.131248	0.0570427	0	0.302486	0.0399074	0.14373
AC007326.4	6.92755	5.95201	7.62478	6.51011	6.17235	7.41001	6.78255	6.16127
AC007846.2	0	0	0	0	0	0	0	0
AC007906.2	0.368939	0.13876	0.424829	0.657135	0	0.107434	0.255015	0.243562
AC007998.2	0	0.505998	0	2.7642	1.05672	0	0	0.650668
AC008162.2	0	0	0	0	0	0	0	0
AC008397.1	0	0	0	0	0	0	0	0
AC008397.2	0	0	0	0.0658229	0	0.119714	0	0.359296
AC008403.1	0	0	0	0	0	0	0	0
AC008676.3	0	0.0252684	0.0440723	0	0	0	0	0
AC008687.1	0.165109	0	0	0	0	0	0	0.21092
AC008687.4	0.35272	0.160796	0	0	0.384544	0.310225	0.109868	0.0941737
AC008695.1	0	0	0	0	0	0	0	0
AC008758.1	1.14909	0.1478	0	0	0.445821	0	0	0.0288203
AC008758.5	0.857827	0	0	0	0	1.86198	0	0
AC008763.3	0	0	0	0	0	0	0	0
AC008764.4	0	0	0	0	0	0	0	0
AC008770.2	1.16603	0	0	0	1.33477	0	0	0
AC008878.1	0	0	0	0	0	0	0	0
AC008878.3	0	0	0	0	0	0	0	0
AC008982.1	0	0	0.300679	0	0.456366	0.652961	0	0
AC009086.2	89.281	42.9591	81.4318	39.5416	90.7384	41.3624	42.9157	1.85306e-08
AC009119.2	8.43038e-05	1.93818	0	0	0	1.44899	1.00891	1.41457
AC009163.4	0	0	0	0	0	0	0	0
AC009779.3	0.861279	1.14389	3.557658	1.18071	1.24739	0.718958	3.25227	0.335385
AC009879.2	0	0	0	0	0	0	0	0
AC010255.3	0	0	0	0	0	0	0	0
AC010319.2	0	0	0	0	0	0.465949	0.447914	0
AC010325.1	0	1.12896	0	0.0223299	0	0.885516	0	0
AC010422.5	0	0	0	0	0	0	0	0
AC010487.3	0	0	0	0	0	0	0	0
AC010522.1	4.667451	3.367012	4.95358	2.62084	4.389847	2.151445	1.265497	1.771063
AC010531.1	0	0.505127	2.2625	0	1.28773	1.05819	0.552055	0.274194
AC010616.1	0	0	0	0	0	0	0	0
AC010646.1	0	0	0.180673	0	0.041496	0.574744	0	0
AC011005.1	0.134833	0	0	0	0	0	0	0
AC011195.2	0	0	0	0	0	0	0	0
AC011448.1	0.620536	1.7445	1.5535	1.40071	0.577768	0.592509	0.707601	2.93951
AC011455.2	0	0	0	0	3.90922e-06	0	0	0
AC011462.1	7.47918	3.49975	5.09028	0.000411767	0	4.04367	0	9.12025e-09
AC011479.1	0	0	1.93367	0.384839	0	0	0.147355	0
AC011499.1	0	0	1.19906	0.99824	0.541395	1.38497	0.355322	0.361408
AC011530.1	0	0	1.0802	0	0	0	0	0
AC011604.2	0	0	0	0	0	0	0	0
AC012184.2	10.02705	11.168431	12.1525991182	12.024988	2.36069	21.9759	25.7255	12.9619
AC012213.5	1.16385	0.890333	2.33931	0.8958	0.741685	3.29645	1.01284	0
AC012309.1	0	0	0	0	0	0	0	0
AC012476.1	0	0	0	0	0	0	0	0
AC012531.3	0	0	0	0	0	0.560612	0	0
AC013394.1	19.6091	16.8562	18.432	19.0132	11.4152	21.8272	16.0701	18.9955
AC013470.2	0.0815776	0.122663	0.473341	0.366951	0.298146	0	0.0768133	0.0732798
AC013489.1	0.697586	0.539806	0.223562	0.255417	0.253538	0.447982	0.53095	0.699368
AC015802.6	25.1219	26.1132	24.3634	24.8233	23.429	24.6505	22.9416	25.301
AC018630.2	1.35083	4.82292	0	0	0.481955	0	0	0.36016
AC018709.1	0	0	0	0	0	0	0	0
AC018755.2	0	0	0.0963109	0	0	0.097519	0	0
AC019117.3	0	0	0	0	0.531896	0.545628	0.224204	0.425662
AC020907.6	0	0.0652208	0	0	0	0	0	0
AC020909.1	0	0	0	0	0	0	0	0.146064
AC021072.1	0	0	0	0	0	0	0	0
AC021097.2	0	0	0	0	0	0	0	0.481057
AC022167.5	0.970145	0.883344	0.307934	0.432687	0	0.708005	0.328929	0.276503
AC022414.1	0.217653	0.27325	0	0.0662098	0.256776	0.0570068	0.05444	0.0483556
AC022506.1	0	0	0	0	0	0	0	2.31927
AC023055.1	0	0	0	0	0	0	0	0
AC023509.3	1.04397	0.459849	0.0609082	0	0.0181993	0	0	0
AC024592.3	1.42501	1.00125	2.52547	2.39495	2.5621	0.810186	3.86782	1.35255
AC025165.3	0	0	0	0	0	0	0	0
AC025283.2	0.207607	2.24023e-08	0.980314	0.248139	0	0.994754	0	0.00100869
AC025287.4	0	0.0995781	0	0	0	0.154133	0	0
AC026316.5	1.27794	1.4554	3.25725	1.41405	2.45835	0	0.6085	1.31877
AC026464.3	0	0	0.0113475	0	0.612669	0	0	0
AC026464.4	26.4004	22.9825	22.8985	21.3908	18.2731	24.2632	29.4868	19.7643
AC026464.6	21.2326	15.3761	28.8556	13.5853	12.9765	12.151	23.66	23.0664
AC026786.1	0	0	0	0	0	0	0	0
AC034102.2	7.74743	34.3529	7.07527	9.03621	33.7555	46.0273	0	0
AC037459.1	0	1.72015	0.409049	0.194609	0	0	2.096793	0
AC058822.1	0	0	0.105519	0	0	0	0	0
AC067752.1	0	0	0	0	0	0	0	0
AC068533.4	0	0	0	1.20398	2.7166	0	0.814991	0
AC068580.4	0.663678	0.461303	0.7390408	0.2304779	0.161919	0.153535	0.123407	0.2777433
AC068631.2	38.484	42.4366	42.2885	28.0199	51.1505	44.6579	39.1848	57.884
AC068775.1	0	0	0.263454	0.905656	1.48148	0.691635	1.44307	0
AC068790.8	0	0	0	0	0	0	0.46976	0
AC068987.5	0	0	0	0	0	0	0	0
AC069368.1	0	0.261775	0.843367	0	0.758707	0.837541	0.0521209	0.424305
AC069444.2	0	0	0	0	0.280543	0	0.0517083	0
AC073111.3	0	1.53806	1.01755	0.896967	0.320128	0	0	0
AC073111.5	1.849012	4.82111	3.81436	2.68218	1.45818	1.54873	2.377358	4.852585
AC073610.2	0	0	0	0	0	0	1.69284	0
AC073610.3	0	0.284833	0	0	0	0.463408	0.328898	0
AC073896.1	60.763	41.672444	80.59519	67.15804	77.87194	33.63515	51.63511	55.72541
AC083800.1	0	0	0	0	0	0	0	0
AC084121.11	0	0	0	0	0	0.0121767	0	0
AC084121.12	0	0	0	0	0	0	0	0
AC084121.13	0	0	0	0	0	0	0	0
AC084121.5	0	0	0	0	0	0.0121767	0	0
AC084121.6	0	0	0	0	0	0.0121767	0	0
AC084121.7	0	0	0	0	0	0.0121767	0	0
AC084121.8	0	0	0	0	0	0.0121767	0	0
AC084121.9	0	0	0	0	0	0.0121767	0	0
AC087498.1	0	0	0	0	0	0	0	0
AC090517.4	0.216154	0.488094	0.393244	0.373237	0	0.34818	0.277895	0.439987
AC090527.2	1.0278	1.78148	6.45235	0	0	5.18668	6.33251	0.004062
AC091057.6	0.882934	0.765766	1.44531	0.807713	1.41639	0.881292	0.776694	1.14358
AC091167.6	0	0	0.531282	0	0	0	0.41535	0
AC091959.3	2.60055	4.23058	4.20517	2.67916	3.52072	4.95593	3.3233	1.75851
AC092017.3	0	0	0	0	0	0	0	0
AC092042.3	0	0	0	0	0	0	0	0
AC092073.1	0	0	0	0	0	0	0	0
AC092143.1	0	0.454478	0	1.21046	2.34407	0.39877	0	0
AC092329.3	1.70558	1.86016	1.65576	1.45172	1.75205	2.36401	0.743304	1.56777
AC092442.1	0	0	0	0	0	0	0	0
AC092587.1	1.09274	0	0	0.645463	0	0	0.791369	0.868669
AC092647.5	0.198941	0	1.27568	0	1.17128e-06	0	2.03079	0.871732
AC092718.3	1.440722	3.87929	3.30885	4.25849	2.88148	3.832459	3.718338	1.459304
AC092718.8	0.414435	0.518481	1.242651	0.302147	0.322753	1.195873	0.270305	0.15428
AC092835.1	0	0	0	0	0	0	0	0
AC093155.3	0.448069	0.342146	0	0	0	0.166185	0.262746	0
AC093323.1	3.05374	2.48804	2.25631	3.15676	3.98991	3.22238	3.86805	1.17802
AC093512.2	15.85629167681	11.132267214	12.24634	12.8648797863	13.64845	8.358209284	12.511942	9.539054
AC093525.1	0	0.633115	0	0	0	0	0	0
AC093525.2	0	0	0	0	0	0	0.283068	0
AC093668.1	0	0	0	0	0	0	0	0
AC093668.3	6.81518	3.61557	4.86996	3.41935	3.49031	3.64687	5.68659	5.00929
AC093827.5	1.74446	1.42329	0.812911	0.867547	0.602968	1.26177	1.65025	1.41851
AC093899.2	0	0.273815	0	0	3.3494e-06	0	0	6.06475e-06
AC096582.3	0.171985	0.155547	0	0.0262019	0.071337	0.0462406	0	0.0694258
AC097634.4	0	0	0	0	0	0	0	0.100767
AC097636.1	0.0466035	0.280614	0.11423	0.193487	0.0785343	0.0582728	0.0458587	0.0408939
AC097637.1	0.0853318	0.0368176	0	0	0.145249	0.0502195	0.0390017	0.0431472
AC098582.1	0	0	0	0	0	0	0.373289	0
AC099489.1	0.553395	0	0.0834542	0.2346732	0.7016825	0.5640265	0.1478545	0.0638416
AC099811.2	0	0	0	0	0	0	0	0
AC099850.2	0	0	0	0	0	1.83202	0	1.20505
AC100868.1	0	0	0	0.137377	0	0	0	0
AC104109.3	0	0.595294	2.22974	0	0	0	0.675064	0
AC104389.5	0	0	0	0	0	0	0	0
AC104452.1	0	0.228079	0.670951	0	0	0	0	0
AC104662.2	9.02113	4.81684	6.71191	4.66317	8.09682	4.32728	4.27568	9.52489
AC106774.4	0	0	0	0	0	0	0	0
AC107871.1	0	0	0	0	0	0	0	0
AC107959.5	5.60852	3.77629	4.79461	3.68647	4.49213	4.65815	2.75749	5.60535
AC108488.2	14.494	11.8435	15.2932	12.4229	15.9145	8.79103	11.1245	10.8247
AC113348.1	0	0	0	0.280271	0	0	0	0
AC114490.3	0.715348	0.243239	0.122996	0.411513	0	0.0940215	0.406625	0.311826
AC115220.1	0	0	0	0	0	0	0	0
AC116366.3	4.0296592593e-05	2.50513123203171	1.5657468889	3.1866400133137	0	0	1.68138000021966	0.1397323122861
AC117378.1	0	0	2.63279	1.29989	0	2.16032	1.28309	1.43533
AC117457.1	0	0	0	0	0	0	0	0
AC118470.1	0	0	0	0	0	0	0	0
AC118549.1	12.357957	14.801351	14.84776	13.3773	12.32308	15.882624	12.995243	13.727532
AC118553.2	8.86851e-08	0.269328	0.42936	1.90245	0.605029	3.30629	0.549664	0.42976000171473
AC119396.1	0	0	0	0	0	0	0	0
AC119676.1	0	0	0	0	0	0	0	0
AC126283.2	1.27567	1.18314	2.67048	0	0.732595	1.36941	0	3.62436e-07
AC127029.3	0	0	0	0	0	0	0	0
AC129492.3	0	0	0	0	0	0	0.20446	0
AC131097.2	0	0	0	0	0	0	0	0
AC131160.1	0.98094	0	0.316569	0	0	0.229105	0	0
AC134669.1	0	0	0	0.228797	0	0	0	0
AC134684.11	0	0	0	0	0	0	0	0
AC134684.8	0	0	0	0	0	0	0	0
AC134684.9	0	0	0	0	0	0	0	0
AC134980.3	0	0	0	0	0	0	0	0
AC135050.2	0	0	0.510637	2.43306	0	0	0.490489	0.496848
AC135068.1	0	0	0	0	0	0	0	0
AC135068.3	0	0	0	0	0	0	0	0
AC136428.1	0	0	0	0	0	0	0	0
AC138647.1	0	0	0	0	0	0	0	0
AC138696.1	0	0	0.270252	0	0.00078054	0	0	0
AC138811.2	0.857289	3.4508	3.0528	0.578093	3.39639	2.3927	3.52833	0
AC138894.1	1.34504e-07	0	0	0	0	0	0	0
AC138969.1	31.6603	34.0785	28.4790508	26.4806300284717	20.2263883	24.046540864263	24.24206	20.6706506
AC139530.2	0	0	0	0	0	0	0	0
AC140504.1	0	0	0	0	0	0	0	0
AC144573.1	0	0.257056	0	0.0657963	0	0.391626	0.186181	0
AC187653.1	0	0	0	0	0	0	0	0
AC233723.1	0	0	0.733664	0.450013	0	0	1.39486	0.613986
AC243547.3	0	0	0	0	0.295094	0	0	0
AC243967.1	0	0	0	0	0	0	0	0
AC244197.3	1.16713	0.838298	0.87667	0.856871	0.408005	0.529745	0.574174	0.495859
AC244517.10	0	0	0	0	0	0	0	0
AC245033.1	0	0	0	0	0	0	0	0
AC245748.1	1.90275e-06	0	0	0	0	0	0	0
AC253536.7	0	0	0	0.292146	0	0	0	0
ACAA1	93.781954	78.319722	80.0709	82.206305208	88.3859	84.950103	93.974038	85.259440221556
ACAA2	76.14766765965	86.8818800097499	84.24034	78.16128	74.8819919	85.3012585	89.557838	82.57381
ACACA	20.943916175268	19.769505	22.96888740135	19.157268	16.5181250693867	19.798568	20.0266070038643	21.673711
ACACB	3.2366120669465	3.922304	3.501234601203	2.019750439653	9.00028134693	2.555376642994	4.27106861	2.6317254
ACAD10	5.303343	6.132244	6.487833	4.136986	3.599345	2.710448	4.14845968398	2.623994
ACAD11	2.703408	6.262109	7.97653	6.268196	3.99725	5.49066	5.91786	5.81272
ACAD8	3.3843	4.957001	5.15538	4.90237	6.14574	5.73811	4.95407	4.07216
ACAD9	18.9126	14.5577	17.5877	18.672	20.3929	17.9862	20.1166	16.4101
ACADL	0	0.043891	0.133899	0.0376485	0	0	0	0
ACADM	47.809176	64.41438	64.66875	53.27098	53.6566	55.32712	60.51303	72.81522
ACADS	21.4321	22.8425	24.885106	20.1148	15.4474	17.9624	16.9648	16.5238
ACADSB	74.8733	70.6282	75.1737	73.3048	63.1143	68.09	59.9061	71.6844
ACADVL	72.94584	81.82526	73.48808	66.15054103	68.66960013399	76.74113	74.26171	67.2755262
ACAN	0	0	0	0.0670959	0	0	0	0
ACAP1	0.0613987	0.0923392	0	0	0	0.143589	0	0.0540445
ACAP2	7.74155464	8.69036	10.13152211	7.7867432166	12.557461	7.509095167283	7.589083	11.46632
ACAP3	16.133969	15.4727	17.59692	13.2245	16.1542	13.1448	14.1185	10.884414
ACAT1	80.355629	80.3404	76.535883	81.189375	70.3549	76.74021	83.98688	85.191774
ACAT2	57.4965	57.9875	63.2932	55.4093	58.362	61.6156	60.5842	59.0525
ACBD3	26.2228	29.1579	26.6449	26.8628	23.3509	27.4909	25.991	27.1511
ACBD4	21.510898	16.809745	20.77489	15.2057473	16.41066	15.812958004463	16.26069	14.651876
ACBD5	18.93912	19.420590544654	16.76036	15.95415581	20.6356313768	16.62091172657	18.550128	19.80675
ACBD6	20.906431	21.146101	24.346486	22.1166	20.6131	18.747713	23.620691	21.472933
ACBD7	3.13128	3.54441	4.30214	4.64742	3.88334	3.28471	2.73581	4.31121
ACCS	0	0	0.0726256	0	0	0	0	0
ACCSL	0	0	0	0	0	0	0	0
ACD	40.14003	29.0911337	41.95095	28.994464	41.85745	33.028567	36.007852	28.951562
ACE	0	0	0	0	0	0	0	0
ACE2	0	0.0321591	0.0717428	0	0	0	0	0
ACER1	0	0	0.257342	0	0	0.280797	0	0.0974662
ACER2	2.34645	2.7776	2.46734	3.16541	2.61286	2.11196	2.6569	3.12679
ACER3	5.70223	3.30399	5.79625	5.16338	2.266649	2.09527	1.92697	4.84046
ACHE	1.1728416	1.511869	1.12025	0.9825000119262	0	0.561286	0.692312	1.153838
ACIN1	75.7795699	70.9443632037889	84.47781	71.886082	68.52357	69.19831	73.6957864	69.851466
ACKR1	0.90154	0.301826	0.476284	0	0	0	0	0.2332255
ACKR2	0.7773559	2.30129	0.945359	0.711655	0.430724	1.779572	0.319963	0.677347
ACKR3	0	0.2044681	0.15694	0	0	0	0.0628793	0
ACKR4	0.471216	0	0.0919144	0.0516955	0	0.372432	0.144778	0.0702942
ACLY	157.570689	146.836477	158.6697	144.389683	171.85905	144.55450100048	159.371287	146.883362
ACMSD	0.24900200353824	0.280439100709	0.184262018957	0.1037930131051	0.2115270714376	0	0.1147370128483	0.2192510842884
ACO1	21.467145	22.6106835	23.2572328635	23.8515866	23.6327016	22.49576658	22.939551989	23.23586191
